Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,coordinates,original_latitude,original_longitude,new_latitude,new_longitude
Bubble Nutrition,78753.0,2022-08-31,97,"707 E BRAKER LN AUSTIN, TX 78753 ",12186025,Routine Inspection,"['30.37682', ' -97.67753']",30.37682, -97.67753,30.3769471,-97.6775633
Clayton Elementary,78739.0,2022-08-31,96,"7525 LA CROSSE AVE AUSTIN, TX 78739 ",2802894,Routine Inspection,"['30.19524', ' -97.90586']",30.19524, -97.90586,30.195001,-97.906573
Yummi Sushi,78745.0,2022-08-31,100,"4477 S LAMAR BLVD AUSTIN, TX 78745 ",11012038,Routine Inspection,"['30.23217', ' -97.79943']",30.23217, -97.79943,30.2306155,-97.7990697
Torchy's Tacos,78705.0,2022-08-31,84,"2801 GUADALUPE ST AUSTIN, TX 78705 ",10149497,Routine Inspection,"['30.29359', ' -97.74197']",30.29359, -97.74197,30.2937238,-97.7417127
Caffe Macs Riata Vista 2,78727.0,2022-08-31,94,"12545 RIATA VISTA CIR AUSTIN, TX 78727 ",2802381,Routine Inspection,"['30.43049', ' -97.73542']",30.43049, -97.73542,30.4359365,-97.7346372
PF - Kelly Lane Middle School,78660.0,2022-08-31,99,"18900 FALCON POINTE BLVD PFLUGERVILLE, TX 78660 ",12392626,Routine Inspection,"['30.46256', ' -97.58455']",30.46256, -97.58455,30.4632797,-97.5855474
Palazio,78745.0,2022-08-31,95,"501 E BEN WHITE BLVD AUSTIN, TX 78745 ",2800807,Routine Inspection,"['30.21919', ' -97.75862']",30.21919, -97.75862,30.2192202,-97.7582624
"Tejas Foundation, The",78705.0,2022-08-31,90,"2600 RIO GRANDE ST AUSTIN, TX 78705 ",10006226,Routine Inspection,"['30.29096', ' -97.74436']",30.29096, -97.74436,30.2909246,-97.7447333
Baranoff Elem School,78748.0,2022-08-31,97,"12009 BUCKINGHAM GATE RD AUSTIN, TX 78748 ",2801262,Routine Inspection,"['30.15319', ' -97.8524']",30.15319, -97.8524,30.153903,-97.8521639
Dolce Neve,78704.0,2022-08-31,99,"1713 S 1ST ST AUSTIN, TX 78704 ",11049895,Routine Inspection,"['30.24763', ' -97.75544']",30.24763, -97.75544,30.2476043,-97.755495
Parmer Lane 5 Caffe Macs-Upstairs,78727.0,2022-08-31,98,"5505 W PARMER LN AUSTIN, TX 78727 ",11499690,Routine Inspection,"['30.43648', ' -97.73498']",30.43648, -97.73498,30.4364591,-97.7356498
LW - Double Dave's,78738.0,2022-08-31,94,"3100 S FM 620 RD LAKEWAY, TX 78738",12185722,Routine Inspection,,,,30.3340469,-97.9696205
Texas Bakery,78753.0,2022-08-31,82,"10901 N LAMAR BLVD AUSTIN, TX 78753 ",12396651,Routine Inspection,"['30.37841', ' -97.6879']",30.37841, -97.6879,30.3786246,-97.6860128
Canteen @ Goodwill Distribution Outlet North,78728.0,2022-08-31,99,"2300 SCARBROUGH DR AUSTIN, TX 78728 ",12395420,Routine Inspection,"['30.46173', ' -97.66996']",30.46173, -97.66996,30.4617407,-97.6716289
La Reyna Bakery,78744.0,2022-08-31,76,"5200 E WILLIAM CANNON DR AUSTIN, TX 78744 ",11358586,Routine Inspection,"['30.18026', ' -97.74776']",30.18026, -97.74776,30.1805723,-97.747964
Summer Moon Coffee Bar,78758.0,2022-08-31,93,"11005 BURNET RD AUSTIN, TX 78758 ",11454744,Routine Inspection,"['30.39437', ' -97.72']",30.39437, -97.72,30.3943718,-97.7201575
Wingstop ,78723.0,2022-08-31,95,"7112 ED BLUESTEIN BLVD AUSTIN, TX 78723 ",11158923,Routine Inspection,"['30.31268', ' -97.66279']",30.31268, -97.66279,30.3140042,-97.6639101
Parmer Lane 5 Caffe Macs,78727.0,2022-08-31,99,"5505 W PARMER LN AUSTIN, TX 78727 ",11458710,Routine Inspection,"['30.43648', ' -97.73498']",30.43648, -97.73498,30.4338905,-97.7365459
Lively Middle School,78704.0,2022-08-31,100,"201 E MARY ST AUSTIN, TX 78704 ",2800431,Routine Inspection,"['30.24482', ' -97.75009']",30.24482, -97.75009,30.243927,-97.750467
Parmer Lane 5 Caffe Macs-Sushi,78727.0,2022-08-31,98,"5505 W PARMER LN AUSTIN, TX 78727 ",11499700,Routine Inspection,"['30.43648', ' -97.73498']",30.43648, -97.73498,30.4343647,-97.7360687
WL- Blenders and Bowls,78746.0,2022-08-31,97,"3736 BEE CAVES RD WEST LAKE HILLS, TX 78746 ",11474650,Routine Inspection,"['30.2803', ' -97.80759']",30.2803, -97.80759,30.2809136,-97.8072416
WL - Tiny Pies,78746.0,2022-08-31,100,"3736 BEE CAVE RD AUSTIN, TX 78746 ",12395213,Routine Inspection,"['30.28058', ' -97.80709']",30.28058, -97.80709,30.2809761,-97.8072888
Wing's N More,78660.0,2022-08-31,84,"1200 W HOWARD LN AUSTIN, TX 78660 ",2802223,Routine Inspection,"['30.42429', ' -97.66966']",30.42429, -97.66966,30.4240976,-97.6696436
Kiker Elementary,78739.0,2022-08-31,100,"5913 LA CROSSE AVE AUSTIN, TX 78739 ",2800126,Routine Inspection,"['30.19204', ' -97.8813']",30.19204, -97.8813,30.1917718,-97.8810313
PF - NLGX Media LLC,78660.0,2022-08-31,91,"113 E PECAN ST PFLUGERVILLE, TX 78660 ",12395714,Routine Inspection,"['30.43963', ' -97.6203']",30.43963, -97.6203,30.4394445,-97.62047
PF - Parkcrest Middle school,78660.0,2022-08-31,100,"1500 N RAILROAD AVE PFLUGERVILLE, TX 78660 ",12392630,Routine Inspection,"['30.45707', ' -97.61667']",30.45707, -97.61667,30.4566851,-97.6183908
Baldwin Elementary,78739.0,2022-08-31,100,"12200 MERIDIAN PARK BLVD AUSTIN, TX 78739 ",10492636,Routine Inspection,"['30.1853', ' -97.92315']",30.1853, -97.92315,30.1847583,-97.9233706
La Finca Super Mercado,78753.0,2022-08-31,90,"9616 N LAMAR BLVD AUSTIN, TX 78753 ",11742299,Routine Inspection,"['30.36657', ' -97.69506']",30.36657, -97.69506,30.3671272,-97.6964138
Central Market: Deli/Bakery/Produce,78745.0,2022-08-31,97,"4477 S LAMAR BLVD AUSTIN, TX 78745 ",2801488,Routine Inspection,"['30.23217', ' -97.79943']",30.23217, -97.79943,30.2306155,-97.7990697
RT 8 - Espresso Bar,78727.0,2022-08-31,94,"12365 RIATA TRACE PKWY AUSTIN, TX 78727 ",12394092,Routine Inspection,"['30.42849', ' -97.74205']",30.42849, -97.74205,30.4274383,-97.7397181
Barton Creek Market,78735.0,2022-08-31,90,"2700 BARTON CREEK BLVD AUSTIN, TX 78735 ",10368062,Routine Inspection,"['30.28926', ' -97.87133']",30.28926, -97.87133,30.2895456,-97.8713146
La Cocina Buena,78753.0,2022-08-31,90,"9616 N LAMAR BLVD AUSTIN, TX 78753 ",12185806,Routine Inspection,"['30.36657', ' -97.69506']",30.36657, -97.69506,30.3671999,-97.6964998
Target Store ,78704.0,2022-08-30,99,"2300 W BEN WHITE BLVD AUSTIN, TX 78704 ",2800638,Routine Inspection,"['30.23251', ' -97.79256']",30.23251, -97.79256,30.2334001,-97.7914251
Taco Cabana ,78748.0,2022-08-30,89,"9705 MANCHACA RD AUSTIN, TX 78748 ",2801240,Routine Inspection,"['30.1753', ' -97.82304']",30.1753, -97.82304,30.1752125,-97.822313
La Hacienda Market #4,78758.0,2022-08-30,98,"1812 PAYTON GIN RD AUSTIN, TX 78758 ",2802492,Routine Inspection,"['30.36628', ' -97.71722']",30.36628, -97.71722,30.3660014,-97.717103
Gibson Bar,78704.0,2022-08-30,96,"1109 S LAMAR BLVD AUSTIN, TX 78704 ",10367660,Routine Inspection,"['30.2554', ' -97.76189']",30.2554, -97.76189,30.255028,-97.7618966
TJ's Seafood,78752.0,2022-08-30,81,"7110 CAMERON RD AUSTIN, TX 78752 ",12143709,Routine Inspection,"['30.32576', ' -97.69258']",30.32576, -97.69258,30.3258037,-97.6932016
La Hacienda Mkt Taqueria,78753.0,2022-08-30,84,"9717 N LAMAR BLVD AUSTIN, TX 78753 ",2801320,Routine Inspection,"['30.3671', ' -97.69434']",30.3671, -97.69434,30.3666667,-97.6941667
C-Boy's Heart & Soul,78704.0,2022-08-30,95,"2008 S CONGRESS AVE AUSTIN, TX 78704 ",11066944,Routine Inspection,"['30.24366', ' -97.75188']",30.24366, -97.75188,30.2436389,-97.7521583
Texaco Braker Mart,78758.0,2022-08-30,83,"2601 W BRAKER LN AUSTIN, TX 78758 ",10001712,Routine Inspection,"['30.39041', ' -97.7196']",30.39041, -97.7196,30.3902435,-97.7197647
La Hacienda Market,78753.0,2022-08-30,71,"9717 N LAMAR BLVD AUSTIN, TX 78753 ",2803754,Routine Inspection,"['30.3671', ' -97.69434']",30.3671, -97.69434,30.3666667,-97.6941667
Walgreens ,78730.0,2022-08-30,98,"6911 N FM 620 RD AUSTIN, TX 78730",2803852,Routine Inspection,,,,30.4018337,-97.8542013
Martin Jr High,78702.0,2022-08-30,98,"1601 HASKELL ST AUSTIN, TX 78702 ",2800327,Routine Inspection,"['30.25364', ' -97.72974']",30.25364, -97.72974,30.2533229,-97.7305357
Meadows Coffee House,78704.0,2022-08-30,93,"3001 S CONGRESS AVE AUSTIN, TX 78704 ",10480663,Routine Inspection,"['30.23233', ' -97.75858']",30.23233, -97.75858,30.23233, -97.75858
Chi Omega,78705.0,2022-08-30,100,"2711 RIO GRANDE ST AUSTIN, TX 78705 ",2800061,Routine Inspection,"['30.29295', ' -97.74417']",30.29295, -97.74417,30.2928922,-97.7439645
Fiesta Mart  (Bakery/Taqueria),78722.0,2022-08-30,92,"3909 N IH AUSTIN, TX 78722",11377975,Routine Inspection,,,,30.296066,-97.717959
Sunrise Mini Mart,78758.0,2022-08-30,84,"1762 COLONY CREEK DR AUSTIN, TX 78758 ",2803811,Routine Inspection,"['30.36968', ' -97.7153']",30.36968, -97.7153,30.3697439,-97.7152429
CVS/Pharmacy ,78748.0,2022-08-30,97,"520 W SLAUGHTER LN AUSTIN, TX 78748 ",10017515,Routine Inspection,"['30.17236', ' -97.79928']",30.17236, -97.79928,30.1728055,-97.7985278
Kerbey Lane Restaurant,78731.0,2022-08-30,89,"3704 KERBEY LN AUSTIN, TX 78731 ",2800235,Routine Inspection,"['30.30791', ' -97.75029']",30.30791, -97.75029,30.3079979,-97.7505616
7-Eleven Convenience Store ,78758.0,2022-08-30,82,"11800 METRIC BLVD AUSTIN, TX 78758 ",11799285,Routine Inspection,"['30.39818', ' -97.70492']",30.39818, -97.70492,30.3981181,-97.7052255
7-Eleven Convenience Store # 36599B,78750.0,2022-08-30,83,"11613 N FM 620 RD AUSTIN, TX 78750 ",12186372,Routine Inspection,"['30.45622', ' -97.82494']",30.45622, -97.82494,30.4557392,-97.824919
Oak Hill Elementary School,78735.0,2022-08-30,100,"6101 PATTON RANCH RD AUSTIN, TX 78735 ",2800333,Routine Inspection,"['30.23764', ' -97.85948']",30.23764, -97.85948,30.2379909,-97.8587606
Pappadeaux,78759.0,2022-08-30,93,"11617 RESEARCH BLVD AUSTIN, TX 78759 ",11630886,Routine Inspection,"['30.41575', ' -97.74553']",30.41575, -97.74553,30.4146311,-97.7450659
IDEA Public Schools-IDEA Allan,78741.0,2022-08-30,97,"1701 VARGAS RD AUSTIN, TX 78741 ",11318405,Routine Inspection,"['30.22643', ' -97.69933']",30.22643, -97.69933,30.2261309,-97.698984
CVS Pharmacy # 10139,78726.0,2022-08-30,100,"7300 N FM 620 RD AUSTIN, TX 78726 ",11275726,Routine Inspection,"['30.40523', ' -97.85392']",30.40523, -97.85392,30.4053264,-97.854433
La Hacienda Market,78758.0,2022-08-30,89,"1812 PAYTON GIN RD AUSTIN, TX 78758 ",2804030,Routine Inspection,"['30.36628', ' -97.71722']",30.36628, -97.71722,30.3659381,-97.7172012
AFC Sushi@St. Edwards University,78704.0,2022-08-30,98,"3001 S CONGRESS AVE AUSTIN, TX 78704 ",10497447,Routine Inspection,"['30.23233', ' -97.75858']",30.23233, -97.75858,30.2289467,-97.7526464
Stubb's,78701.0,2022-08-30,88,"801 RED RIVER ST AUSTIN, TX 78701 ",2800835,Routine Inspection,"['30.26864', ' -97.7364']",30.26864, -97.7364,30.2684942,-97.7362565
Wingstop # 1275,78750.0,2022-08-30,92,"13450 N US 183 HWY AUSTIN, TX 78750 ",11745906,Routine Inspection,"['30.44825', ' -97.78987']",30.44825, -97.78987,30.4475511,-97.7924152
Ross Cake's Bake & Sweets,78617.0,2022-08-30,82,"2777 E SH AUSTIN, TX 78617",12186370,Routine Inspection,,,,30.1471783,-97.5897372
Deckhand Oyster Bar,78704.0,2022-08-30,80,"4211 S LAMAR BLVD AUSTIN, TX 78704 ",11474370,Routine Inspection,"['30.234848', ' -97.794618']",30.234848, -97.794618,30.2350685,-97.7935459
Mathews Elementary School,78703.0,2022-08-30,94,"906 WEST LYNN ST AUSTIN, TX 78703 ",2800428,Routine Inspection,"['30.27809', ' -97.76056']",30.27809, -97.76056,30.2782568,-97.7608973
7-Eleven Convenience Store ,78726.0,2022-08-30,78,"11518 N FM 620 RD AUSTIN, TX 78726 ",12394770,Routine Inspection,"['30.45504', ' -97.82688']",30.45504, -97.82688,30.4553331,-97.8272134
LW - Merito Food Mart,78734.0,2022-08-30,98,"201 N FM 620 RD LAKEWAY, TX 78734 ",11289572,Routine Inspection,"['30.36703', ' -97.95057']",30.36703, -97.95057,30.3668705,-97.9501046
CVS/Pharmacy ,78750.0,2022-08-30,98,"11725 N FM 620 RD AUSTIN, TX 78750 ",2804049,Routine Inspection,"['30.45748', ' -97.82365']",30.45748, -97.82365,30.4572793,-97.8228956
Wienerschnitzel ,78758.0,2022-08-30,85,"2512 W BRAKER LN AUSTIN, TX 78758 ",10676946,Routine Inspection,"['30.39069', ' -97.7194']",30.39069, -97.7194,30.3910272,-97.7195799
Canteen@National Instruments,78759.0,2022-08-30,97,"11500 N MOPAC EXPY AUSTIN, TX 78759 ",12128075,Routine Inspection,"['30.40535', ' -97.7259']",30.40535, -97.7259,30.4080924,-97.72583
River City Donut II,78758.0,2022-08-30,84,"11900 METRIC BLVD AUSTIN, TX 78758 ",11482421,Routine Inspection,"['30.40015', ' -97.70391']",30.40015, -97.70391,30.4006855,-97.7038412
Beta Upsilon Chi,78705.0,2022-08-30,88,"2317 SHOAL CREEK BLVD AUSTIN, TX 78705 ",12395514,Routine Inspection,"['30.28826', ' -97.75147']",30.28826, -97.75147,30.2880598,-97.7512405
Randall's -Prepared Foods,78703.0,2022-08-30,94,"2727 EXPOSITION BLVD AUSTIN, TX 78703 ",2803491,Routine Inspection,"['30.30408', ' -97.76456']",30.30408, -97.76456,30.3042649,-97.7638905
Arby's,78745.0,2022-08-30,94,"4411 S LAMAR BLVD AUSTIN, TX 78745 ",12396112,Routine Inspection,"['30.23246', ' -97.79564']",30.23246, -97.79564,30.2323425,-97.795743
Doyle Cafe @ St. Edward's University,78704.0,2022-08-30,100,"3001 S CONGRESS AVE AUSTIN, TX 78704 ",10487905,Routine Inspection,"['30.23233', ' -97.75858']",30.23233, -97.75858,30.23233, -97.75858
AFC Sushi @ National Instrument Cafe,78759.0,2022-08-30,97,"11500 N MOPAC EXPY AUSTIN, TX 78759 ",12166988,Routine Inspection,"['30.40535', ' -97.7259']",30.40535, -97.7259,30.4080924,-97.72583
Austin Travis County Integral Care,78741.0,2022-08-30,97,"6600 E BEN WHITE BLVD AUSTIN, TX 78741 ",11749365,Routine Inspection,"['30.21364', ' -97.70842']",30.21364, -97.70842,30.2134264,-97.7086858
Maplewood Elementary,78722.0,2022-08-30,99,"3808 MAPLEWOOD AVE AUSTIN, TX 78722 ",2803197,Routine Inspection,"['30.29252', ' -97.71428']",30.29252, -97.71428,30.2933665,-97.7149672
Eurest,78759.0,2022-08-30,97,"11500 N MOPAC EXPY AUSTIN, TX 78759 ",11731662,Routine Inspection,"['30.40535', ' -97.7259']",30.40535, -97.7259,30.4065746,-97.7279217
St David's South Hosp (Columbia),78745.0,2022-08-29,92,"901 W BEN WHITE BLVD AUSTIN, TX 78745 ",2800266,Routine Inspection,"['30.22669', ' -97.77385']",30.22669, -97.77385,30.2260391,-97.7745692
HEB Food Store ,78756.0,2022-08-29,97,"5808 BURNET RD AUSTIN, TX 78756 ",2803561,Routine Inspection,"['30.33412', ' -97.73993']",30.33412, -97.73993,30.3344062,-97.7411258
El Rancho Supermarket #1 (Bakery),78757.0,2022-08-29,93,"8752 RESEARCH BLVD SB AUSTIN, TX 78757 ",11761896,Routine Inspection,"['30.36566', ' -97.71846']",30.36566, -97.71846,30.3650316,-97.719795
Guero's Taco Bar,78704.0,2022-08-29,92,"1412 S CONGRESS AVE AUSTIN, TX 78704 ",2800979,Routine Inspection,"['30.24907', ' -97.7499']",30.24907, -97.7499,30.2491468,-97.7502857
HEB Food Store  - Restaurant,78756.0,2022-08-29,97,"5808 BURNET RD AUSTIN, TX 78756 ",2800322,Routine Inspection,"['30.33412', ' -97.73993']",30.33412, -97.73993,30.3344062,-97.7411258
"Terry Black's Barbecue, LLC",78704.0,2022-08-29,82,"1003 BARTON SPRINGS RD AUSTIN, TX 78704 ",11156887,Routine Inspection,"['30.2599', ' -97.7552']",30.2599, -97.7552,30.2597012,-97.7548215
Firefly Sushi,78745.0,2022-08-29,97,"901 W BEN WHITE BLVD AUSTIN, TX 78745 ",11997321,Routine Inspection,"['30.22669', ' -97.77385']",30.22669, -97.77385,30.2261149,-97.7745674
Violet Crown Cinema,78701.0,2022-08-29,93,"434 W 2ND ST AUSTIN, TX 78701 ",10578995,Routine Inspection,"['30.2654', ' -97.7481']",30.2654, -97.7481,30.2657646,-97.7481387
J Carver,78701.0,2022-08-29,93,"509 RIO GRANDE ST AUSTIN, TX 78701 ",12394228,Routine Inspection,"['30.26943', ' -97.74945']",30.26943, -97.74945,30.2695527,-97.7494581
Little City Cafe (St. David's South),78745.0,2022-08-29,98,"901 W BEN WHITE BLVD AUSTIN, TX 78745 ",12394827,Routine Inspection,"['30.22669', ' -97.77385']",30.22669, -97.77385,30.2149641,-97.7626307
RW - Amy's Ice Cream,78746.0,2022-08-29,97,"2805 BEE CAVES RD ROLLINGWOOD, TX 78746 ",10594090,Routine Inspection,"['30.271', ' -97.78957']",30.271, -97.78957,30.2703422,-97.7900489
Arby's Roast Beef  ,78757.0,2022-08-29,90,"8648 RESEARCH BLVD AUSTIN, TX 78757 ",2802117,Routine Inspection,"['30.36343', ' -97.71787']",30.36343, -97.71787,30.3633578,-97.7181589
Grand Donuts,78748.0,2022-08-29,85,"615 W SLAUGHTER LN AUSTIN, TX 78748 ",11109004,Routine Inspection,"['30.17216', ' -97.80139']",30.17216, -97.80139,30.1721047,-97.8012359
Centro de Bienestar,78757.0,2022-08-29,92,"8762 RESEARCH BLVD AUSTIN, TX 78757 ",11533348,Routine Inspection,"['30.36571', ' -97.71847']",30.36571, -97.71847,30.3658187,-97.7192609
Las Mangonadas Neverias III,78757.0,2022-08-29,97,"8776 RESEARCH BLVD AUSTIN, TX 78757 ",12394365,Routine Inspection,"['30.36623', ' -97.7186']",30.36623, -97.7186,30.3660498,-97.7198437
Filipino Asian Mart,78748.0,2022-08-29,95,"615 W SLAUGHTER LN AUSTIN, TX 78748 ",11418638,Routine Inspection,"['30.17216', ' -97.80139']",30.17216, -97.80139,30.172323,-97.801245
Capitol Food Stop #2,78753.0,2022-08-26,87,"8201 N LAMAR BLVD AUSTIN, TX 78753 ",10000531,Routine Inspection,"['30.35085', ' -97.70851']",30.35085, -97.70851,30.3508037,-97.7083434
Austin Resource Ctr. Homeless,78701.0,2022-08-26,87,"500 E 7TH ST AUSTIN, TX 78701 ",2801950,Routine Inspection,"['30.26771', ' -97.73781']",30.26771, -97.73781,30.2677651,-97.7375975
Webb Middle School,78752.0,2022-08-26,100,"601 E ST JOHNS AVE AUSTIN, TX 78752 ",2800006,Routine Inspection,"['30.33263', ' -97.70773']",30.33263, -97.70773,30.3332555,-97.7070039
PF - Murchison Elementary School,78660.0,2022-08-26,93,"2215 KELLY LN PFLUGERVILLE, TX 78660 ",12392645,Routine Inspection,"['30.46818', ' -97.5861']",30.46818, -97.5861,30.4671029,-97.5869299
"Goddard School, The",78739.0,2022-08-26,96,"12101 ARCHELETA BLVD AUSTIN, TX 78739 ",12392978,Routine Inspection,"['30.17105', ' -97.88992']",30.17105, -97.88992,30.1706523,-97.8893966
TopGolf USA Austin,78758.0,2022-08-26,78,"2700 ESPERANZA XING AUSTIN, TX 78758 ",10910024,Routine Inspection,"['30.39764', ' -97.71769']",30.39764, -97.71769,30.3983629,-97.7174922
"Hernandez Hospitality, LLC",78748.0,2022-08-26,100,"630 RALPH ABLANEDO DR AUSTIN, TX 78748 ",12395851,Routine Inspection,"['30.17416', ' -97.79688']",30.17416, -97.79688,30.1746506,-97.7968612
Whataburger ,78757.0,2022-08-26,97,"2801 W ANDERSON LN AUSTIN, TX 78757 ",2800287,Routine Inspection,"['30.35902', ' -97.73692']",30.35902, -97.73692,30.3586713,-97.73706
PF - Hendrickson Pod,78660.0,2022-08-26,100,"2905 FM PFLUGERVILLE, TX 78660 ",12392629,Routine Inspection,"['30.46782', ' -97.59319']",30.46782, -97.59319,30.4646214,-97.5882298
Salvation Army,78701.0,2022-08-26,100,"501 E 8TH ST AUSTIN, TX 78701 ",12186160,Routine Inspection,"['30.26859', ' -97.73731']",30.26859, -97.73731,30.2683275,-97.7374419
Reilly Elementary,78752.0,2022-08-26,100,"405 DENSON DR AUSTIN, TX 78752 ",2800178,Routine Inspection,"['30.3285', ' -97.71966']",30.3285, -97.71966,30.3278826,-97.7198181
Solstice Senior Living at Austin,78745.0,2022-08-26,96,"2603 JONES RD AUSTIN, TX 78745 ",11378751,Routine Inspection,"['30.22417', ' -97.80173']",30.22417, -97.80173,30.2237027,-97.801734
Casa Garcia # 1,78745.0,2022-08-26,87,"1901 W WILLIAM CANNON DR AUSTIN, TX 78745 ",2801537,Routine Inspection,"['30.20192', ' -97.80534']",30.20192, -97.80534,30.2021976,-97.8060781
Seven Grand,78701.0,2022-08-26,94,"405 E 7TH ST AUSTIN, TX 78701 ",11728637,Routine Inspection,"['30.26769', ' -97.7388']",30.26769, -97.7388,30.2677434,-97.7384436
Cap Metro Child Care Ctr,78702.0,2022-08-26,95,"624 N PLEASANT VALLEY RD AUSTIN, TX 78702 ",2802605,Routine Inspection,"['30.25886', ' -97.71004']",30.25886, -97.71004,30.2590149,-97.7105962
Home 2 Suites Austin North,78758.0,2022-08-26,94,"2800 ESPERANZA XING AUSTIN, TX 78758 ",11315114,Routine Inspection,"['30.39867', ' -97.71827']",30.39867, -97.71827,30.3992205,-97.718518
Inflatable Wonderland,78613.0,2022-08-26,91,"11200 LAKELINE MALL DR AUSTIN, TX 78613 ",12395400,Routine Inspection,"['30.47181', ' -97.80337']",30.47181, -97.80337,30.4693406,-97.8076009
St Francis School,78752.0,2022-08-26,99,"300 E HUNTLAND DR AUSTIN, TX 78752 ",2802238,Routine Inspection,"['30.3309', ' -97.71001']",30.3309, -97.71001,30.331249,-97.710195
Ridgetop Elementary,78751.0,2022-08-26,100,"5005 CASWELL AVE AUSTIN, TX 78751 ",2800244,Routine Inspection,"['30.31176', ' -97.71684']",30.31176, -97.71684,30.3118944,-97.716536
Detour Domain,78758.0,2022-08-26,94,"11101 BURNET RD AUSTIN, TX 78758 ",10388239,Routine Inspection,"['30.39595', ' -97.71945']",30.39595, -97.71945,30.3961434,-97.7196098
PF - Hendrickson High School,78660.0,2022-08-26,95,"2905 FM PFLUGERVILLE, TX 78660 ",12392632,Routine Inspection,"['30.46782', ' -97.59319']",30.46782, -97.59319,30.4646214,-97.5882298
Starbucks,78613.0,2022-08-26,97,"11200 LAKELINE MALL DR AUSTIN, TX 78613 ",11547239,Routine Inspection,"['30.47181', ' -97.80337']",30.47181, -97.80337,30.470645,-97.807035
Winn Elementary School,78723.0,2022-08-26,95,"3500 SUSQUEHANNA LN AUSTIN, TX 78723 ",2800283,Routine Inspection,"['30.31382', ' -97.66578']",30.31382, -97.66578,30.3138542,-97.665306
Mort Subite,78701.0,2022-08-26,97,"308 CONGRESS AVE AUSTIN, TX 78701 ",11593140,Routine Inspection,"['30.26562', ' -97.74373']",30.26562, -97.74373,30.265718,-97.7439904
Miraval Resort & Spa,78641.0,2022-08-26,92,"13500 FM 2769 RD AUSTIN, TX 78641 ",11655317,Routine Inspection,"['30.44302', ' -97.86481']",30.44302, -97.86481,30.4437329,-97.8650867
Torchy's Tacos,78723.0,2022-08-26,92,"1801 E 51ST ST AUSTIN, TX 78723 ",11232472,Routine Inspection,"['30.30251', ' -97.69818']",30.30251, -97.69818,30.303292,-97.6988397
Sam's Club  Cafe,78759.0,2022-08-25,92,"9700 N CAPITAL OF TEXAS HWY AUSTIN, TX 78759 ",2800884,Routine Inspection,"['30.39118', ' -97.74383']",30.39118, -97.74383,30.3918488,-97.7416062
Austin Community College Children's Lab School,78702.0,2022-08-25,99,"3401 WEBBERVILLE RD AUSTIN, TX 78702 ",10122139,Routine Inspection,"['30.26842', ' -97.70723']",30.26842, -97.70723,30.2689202,-97.7054266
Child Inc.-Dove Springs,78744.0,2022-08-25,91,"5106 VILLAGE SQUARE DR AUSTIN, TX 78744 ",2800934,Routine Inspection,"['30.18781', ' -97.74351']",30.18781, -97.74351,30.1886755,-97.7430554
Taco Aranda,78748.0,2022-08-25,85,"12115 MANCHACA RD AUSTIN, TX 78748 ",11461607,Routine Inspection,"['30.14248', ' -97.83304']",30.14248, -97.83304,30.1417851,-97.8326114
Graceland Grocery,78736.0,2022-08-25,100,"8600 W US 290 HWY AUSTIN, TX 78736 ",11444903,Routine Inspection,"['30.2345', ' -97.91109']",30.2345, -97.91109,30.234867,-97.911626
Of Rigor LLC DBA The Madison/Roosevelt Room,78701.0,2022-08-25,95,"307 W 5TH ST AUSTIN, TX 78701 ",11301280,Routine Inspection,"['30.26796', ' -97.74616']",30.26796, -97.74616,30.2648994,-97.71776
Smoothie King,78746.0,2022-08-25,92,"3201 BEE CAVES RD AUSTIN, TX 78746 ",11503088,Routine Inspection,"['30.27377', ' -97.80053']",30.27377, -97.80053,30.273238,-97.800688
Heritage of Gaines Ranch-Main Kit,78735.0,2022-08-25,90,"4409 GAINES RANCH LOOP AUSTIN, TX 78735 ",2801296,Routine Inspection,"['30.24184', ' -97.81587']",30.24184, -97.81587,30.2419239,-97.8163849
Sigma Chi Kitchen,78705.0,2022-08-25,93,"2701 NUECES ST AUSTIN, TX 78705 ",12394988,Routine Inspection,"['30.2923', ' -97.74271']",30.2923, -97.74271,30.29223,-97.742557
Metcalf BBQ,78736.0,2022-08-25,99,"8600 W US 290 HWY AUSTIN, TX 78736 ",12026154,Routine Inspection,"['30.2345', ' -97.91109']",30.2345, -97.91109,30.2348574,-97.9116047
Muangthai Thai Cuisine,78717.0,2022-08-25,86,"13945 N US 183 HWY AUSTIN, TX 78717 ",10246937,Routine Inspection,"['30.47186', ' -97.7978']",30.47186, -97.7978,30.4721752,-97.7969994
Berkman Food Mart,78723.0,2022-08-25,87,"6615 BERKMAN DR AUSTIN, TX 78723 ",2803871,Routine Inspection,"['30.31943', ' -97.68887']",30.31943, -97.68887,30.3195237,-97.6889502
Sam's Club /Meat & Deli,78759.0,2022-08-25,91,"9700 N CAPITAL OF TEXAS HWY AUSTIN, TX 78759 ",2803920,Routine Inspection,"['30.39118', ' -97.74383']",30.39118, -97.74383,30.3909408,-97.7433254
Domino's # 9365,78749.0,2022-08-25,97,"5701 W SLAUGHTER LN AUSTIN, TX 78749 ",12393500,Routine Inspection,"['30.20107', ' -97.8677']",30.20107, -97.8677,30.2005741,-97.8691415
